County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Laurens,897,114319,,0.78%,,Audrain County,25473,,,Baltimore County,1821,828431
Umatilla,599,77516,,0.77%,,Audubon County,5506,,,Bamberg,62,14275
Aiken,1297,169401,,0.77%,,Auglaize County,45804,,,Bandera,2,22824
Duval,7333,961393,,0.76%,,Augusta County,75457,,,Banks,40,18988
Greenwood,585,76796,,0.76%,,Aurora County,2801,,,Bannock,13,87138
Marlboro,193,26398,,0.73%,,Austin County,29989,,,Baraga,2,8320
Saluda,150,20544,,0.73%,,Autauga County,55601,,,Barbour,5,41416
Ramsey,4053,561691,,0.72%,,Avery County,17505,,,Barnes,1,10542
DuPage,6596,928589,,0.71%,,Avoyelles Parish,40462,,,Barnstable,264,213413
Rockbridge,161,22752,,0.71%,,Baca County,3585,,,Barnwell,102,21112
Hennepin,8821,1259428,,0.70%,,Bacon County,11185,,,Barren,4,44176
West Baton Rouge,183,26427,,0.69%,,Bailey County,7027,,,Barron,3,45164
Dorchester,1332,192645,,0.69%,,Baker County,47453,,,Barrow,53,80809
Wasatch,229,33240,,0.69%,,Baldwin County,262845,,,Barry,16,97043
Wythe,197,28754,,0.69%,,Ballard County,7979,,,Bartholomew,386,82753
Taliaferro,11,1608,,0.68%,,Baltimore city,602495,,,Barton,1,37909
Lander,38,5575,,0.68%,,Baltimore County,828431,,,Bartow,158,106408
Alameda,11065,1666753,,0.66%,,Bamberg County,14275,,,Bastrop,27,86976
Mccormick,62,9410,,0.66%,,Bandera County,22824,,,Bates,4,16320
Mono,92,14250,,0.65%,,Banks County,18988,,,Bath,8,16675
Huerfano,44,6889,,0.64%,,Banner County,730,,,Bay,345,289210
Wallowa,45,7081,,0.64%,,Bannock County,87138,,,Bayfield,4,15042
Berkeley,2138,338214,,0.63%,,Baraga County,8320,,,Baylor,3,3582
Kenton,1045,166051,,0.63%,,Barber County,4472,,,Beaufort,853,235794
Dallas,17492,2790206,,0.63%,,Barbour County,41416,,,Beaver,102,176641
Josephine,545,87393,,0.62%,,Barnes County,10542,,,Beaverhead,5,9404
Piute,9,1445,,0.62%,,Barnstable County,213413,,,Becker,34,34371
Oconee,732,117646,,0.62%,,Barnwell County,21112,,,Beckham,8,21709
