County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Cobb,1555,756865,,0.21%,,Clarendon County,33700,,,Crawford,97,342028
Centre,334,162805,,0.21%,,Clarion County,38779,,,Creek,44,71604
Kittitas,97,47364,,0.20%,,Clark County,3087502,,,Crenshaw,1,13824
Prince George,77,38082,,0.20%,,Clarke County,190800,,,Crisp,16,22601
Dauphin,559,277097,,0.20%,,Clatsop County,39764,,,Crittenden,98,57257
Pine,59,29483,,0.20%,,Clay County,718645,,,Crockett,4,17827
King George,53,26575,,0.20%,,Clayton County,307171,,,Crook,101,31317
Durham,631,316739,,0.20%,,Clear Creek County,9605,,,Crow Wing,31,64889
Fayette,1565,785776,,0.20%,,Clearfield County,79388,,,Crowley,3,5858
Morrison,66,33169,,0.20%,,Clearwater County,17568,,,Culberson,3,2204
Guilford,1058,533670,,0.20%,,Cleburne County,39952,,,Cullman,121,83442
Ventura,1685,850967,,0.20%,,Clermont County,205466,,,Culpeper,49,51859
Tarrant,4121,2084931,,0.20%,,Cleveland County,387332,,,Cumberland,942,1115231
Middlesex,5163,2617850,,0.20%,,Clinch County,6648,,,Cuming,1,8940
Portsmouth,186,94632,,0.20%,,Clinton County,387851,,,Currituck,6,27072
Ouachita,46,23606,,0.19%,,Cloud County,8729,,,Curry,200,72250
Yellow Medicine,19,9795,,0.19%,,Coahoma County,22628,,,Custer,14,69422
Seminole,964,500725,,0.19%,,Coal County,5520,,,Cuyahoga,2366,1243857
Peach,52,27297,,0.19%,,Cobb County,756865,,,Dade,52,23795
Smyth,58,30472,,0.19%,,Cochise County,126770,,,Daggett,4,980
Cuyahoga,2366,1243857,,0.19%,,Cochran County,2836,,,Dakota,1872,445506
Nolan,28,14751,,0.19%,,Cocke County,35774,,,Dale,14,48956
Fairfield,2128,1122007,,0.19%,,Coconino County,142854,,,Dallam,2,7200
Cheshire,145,76493,,0.19%,,Codington County,28015,,,Dallas,17492,2790206
Sanpete,58,30623,,0.19%,,Coffee County,150702,,,Dane,620,542364
Prince George's,1712,909308,,0.19%,,Coffey County,8233,,,Danville,3,40693
New Haven,1607,857620,,0.19%,,Coke County,3370,,,Danville City,2,40693
Allegheny,2279,1218452,,0.19%,,Colbert County,54762,,,Dare,12,36501
Sibley,28,15028,,0.19%,,Cole County,76796,,,Darke,22,51323
Uintah,66,35438,,0.19%,,Coleman County,8397,,,Darlington,559,66802
Hunterdon,228,124714,,0.18%,,Coles County,50885,,,Dauphin,559,277097
Washington,4777,2627472,,0.18%,,Colfax County,22991,,,Davidson,15601,859201
Bergen,1702,936692,,0.18%,,Colleton County,37660,,,Davie,51,42733
Burlington,809,445384,,0.18%,,Collier County,378488,,,Daviess,17,142564
Yavapai,420,231993,,0.18%,,Collin County,1005146,,,Davis,1179,360730
Carbon,198,110181,,0.18%,,Collingsworth County,2962,,,Dawes,1,8716
Anne Arundel,1032,576031,,0.18%,,Colonial Heights city,17833,,,Dawson,43,70091
St. Martin,96,53621,,0.18%,,Colorado County,21217,,,De Soto,8,27436
Fountain,29,16351,,0.18%,,Colquitt County,45592,,,Deaf Smith,1,18760
King William,30,16939,,0.18%,,Columbia County,487497,,,Dearborn,50,49568
Goodhue,82,46403,,0.18%,,Columbiana County,102665,,,Decatur,51,75836
Onondaga,816,461809,,0.18%,,Columbus County,55655,,,Defiance,4,38165
Essex,2906,1644874,,0.18%,,Colusa County,21627,,,DeKalb,3290,1008080
Butte,431,244089,,0.18%,,Comal County,148373,,,Del Norte,47,27828
Haralson,52,29533,,0.18%,,Comanche County,135704,,,Delaware,1636,988678
Bronx,2519,1432132,,0.18%,,Concho County,4276,,,Delta,12,72159
Okaloosa,363,207269,,0.18%,,Concordia Parish,19572,,,Denton,802,859064
Cecil,180,102826,,0.18%,,Conecuh County,12277,,,Denver,4291,716492
Grays Harbor,129,73901,,0.17%,,Conejos County,8200,,,Des Moines,3,39138
Faribault,24,13758,,0.17%,,Contra Costa County,1150215,,,Deschutes,853,191996
Schoharie,54,31097,,0.17%,,Converse County,13640,,,Desha,3,11512
Walton,286,164878,,0.17%,,Conway County,20891,,,DeSoto,134,219490
Geauga,162,94031,,0.17%,,Cook County,5203048,,,Deuel,4,6162
Crittenden,98,57257,,0.17%,,Cooke County,40574,,,DeWitt,1,20187
Baldwin,447,262845,,0.17%,,Cooper County,17603,,,Dickenson,7,14523
Schenectady,264,155350,,0.17%,,Coos County,95978,,,Dickey,1,4903
Del Norte,47,27828,,0.17%,,Coosa County,10715,,,Dickinson,1,61253
Waynesboro,38,22628,,0.17%,,Copiah County,28543,,,Dickson,49,53446
Steele,65,38706,,0.17%,,Corson County,4165,,,Dillon,381,30599
Wright,281,167417,,0.17%,,Cortland County,47823,,,Dimmit,1,10308
Cook,8668,5203048,,0.17%,,Coryell County,74808,,,Dinwiddie,177,28529
Delaware,1636,988678,,0.17%,,Coshocton County,36629,,,District of Columbia,951,702455
Baltimore City,994,602495,,0.16%,,Costilla County,3828,,,Dixie,7,16700
Rockingham,789,481110,,0.16%,,Cottle County,1389,,,Doddridge,7,8406
Bibb,286,175495,,0.16%,,Cotton County,5776,,,Dodge,49,166165
Union,1866,1147306,,0.16%,,Cottonwood County,11277,,,Dolores,2,2074
Lebanon,228,141314,,0.16%,,Covington city,5460,,,Doniphan,1,7682
Williamson,1395,865504,,0.16%,,Covington County,55839,,,Donley,4,3319
Siskiyou,70,43724,,0.16%,,Coweta County,145864,,,Dooly,43,13706
Wadena,22,13773,,0.16%,,Cowley County,35218,,,DoÔøΩa Ana,27,#N/A
Lyon,212,134663,,0.16%,,Cowlitz County,108987,,,Door,1,27610
Boise,12,7634,,0.16%,,Craig County,19370,,,Dorchester,1332,192645
Rockwall,158,100657,,0.16%,,Craighead County,108558,,,Dougherty,46,91243
Candler,17,10836,,0.16%,,Crane County,4794,,,Douglas,6918,1495039
Iredell,277,178435,,0.16%,,Craven County,102912,,,Drew,3,18328
Grafton,139,89786,,0.15%,,Crawford County,342028,,,Dubois,10,42565
Queens,3527,2278906,,0.15%,,Creek County,71604,,,Dubuque,12,96854
Haywood,122,79306,,0.15%,,Crenshaw County,13824,,,Duchesne,48,19964
Gloucester,505,328757,,0.15%,,Crisp County,22601,,,Dukes,1,17352
Southampton,27,17586,,0.15%,,Crittenden County,57257,,,Dunn,32,49463
Cooper,27,17603,,0.15%,,Crockett County,17827,,,DuPage,6596,928589
St. Francis,39,25439,,0.15%,,Crook County,31317,,,Duplin,7,58856
Glades,21,13724,,0.15%,,Crosby County,5779,,,Durham,631,316739
Prairie,14,9161,,0.15%,,Cross County,16676,,,Dutchess,1136,293718
Volusia,834,547538,,0.15%,,Crow Wing County,64889,,,Duval,7333,961393
Meeker,35,23141,,0.15%,,Crowley County,5858,,,Dyer,6,37320
Morgan,558,370310,,0.15%,,Culberson County,2204,,,Eagle,82,54993
Chatham,545,362334,,0.15%,,Cullman County,83442,,,Early,5,10247
Johnson,1853,1232717,,0.15%,,Culpeper County,51859,,,East Baton Rouge,12513,440956
Chester,855,571573,,0.15%,,Cumberland County,1115231,,,East Feliciana,4,19305
Eagle,82,54993,,0.15%,,Cuming County,8940,,,Eastland,4,18322
Bartow,158,106408,,0.15%,,Currituck County,27072,,,Eaton,162,109826
Louisa,71,47947,,0.15%,,Curry County,72250,,,Eau Claire,35,104534
Wakulla,48,32461,,0.15%,,Custer County,69422,,,Ector,28,162124
Eaton,162,109826,,0.15%,,Cuyahoga County,1243857,,,Eddy,13,60213
Henry,756,513152,,0.15%,,Dade County,23795,,,Edgecombe,7,52005
St. Charles,588,399182,,0.15%,,Daggett County,980,,,Edgefield,143,27052
Treasure,1,679,,0.15%,,Dakota County,445506,,,Effingham,36,96398
Buckingham,25,16999,,0.15%,,Dale County,48956,,,El Dorado,648,190678
Warren,1228,836156,,0.15%,,Dallam County,7200,,,El Paso,5996,1554614
Hudson,989,676061,,0.15%,,Dallas County,2790206,,,Elbert,16,45402
Nassau,2112,1444175,,0.15%,,Dane County,542364,,,Elk,26,32677
Calhoun,507,347252,,0.15%,,Daniels County,1747,,,Elkhart,27,205560
Erie,1840,1266395,,0.15%,,Danville city,40693,,,Elko,190,52460
Calcasieu,295,203112,,0.15%,,Dare County,36501,,,Ellis,146,212098
Westmoreland,535,368441,,0.15%,,Darke County,51323,,,Ellsworth,4,6196
Cullman,121,83442,,0.15%,,Darlington County,66802,,,Elmore,118,109146
Campbell,340,235225,,0.14%,,Dauphin County,277097,,,Emanuel,7,22612
Glasscock,2,1388,,0.14%,,Davidson County,859201,,,Emery,61,10014
Brevard,857,596849,,0.14%,,Davie County,42733,,,Emmet,3,42561
Polk,2214,1543112,,0.14%,,Daviess County,142564,,,Emporia,23,5121
Knox,1003,701283,,0.14%,,Davis County,360730,,,Erath,4,42446
Limestone,171,119693,,0.14%,,Davison County,19790,,,Erie,1840,1266395
Lamar,205,145019,,0.14%,,Dawes County,8716,,,Escambia,1222,352282
Spotsylvania,189,134238,,0.14%,,Dawson County,70091,,,Esmeralda,12,826
Rice,107,76054,,0.14%,,Day County,5505,,,Essex,2906,1644874
Lunenburg,17,12086,,0.14%,,De Baca County,1781,,,Estill,1,14198
Klickitat,31,22107,,0.14%,,De Soto Parish,27436,,,Etowah,25,102501
Reeves,22,15695,,0.14%,,De Witt County,15769,,,Eureka,26,2003
Boone,733,523130,,0.14%,,Deaf Smith County,18760,,,Evangeline,2,33443
Sevier,191,136570,,0.14%,,Dearborn County,49568,,,Evans,5,10721
Sherburne,134,96036,,0.14%,,Decatur County,75836,,,Fairfax,127,24574
McDuffie,30,21531,,0.14%,,Deer Lodge County,9131,,,Fairfax City,51,24574
Herkimer,86,61833,,0.14%,,Defiance County,38165,,,Fairfax County,3375,1150795
Mercer,872,629867,,0.14%,,DeKalb County,1008080,,,Fairfield,2128,1122007
Greene,1097,792666,,0.14%,,Del Norte County,27828,,,Falls,1,14772
Kimball,5,3618,,0.14%,,Delaware County,988678,,,Falls Church,5,14772
Pittsylvania,84,60949,,0.14%,,Delta County,72159,,,Falls Church City,2,14772
Culberson,3,2204,,0.14%,,Denali Borough,2059,,,Fannin,3,61250
Howard,652,481154,,0.14%,,Dent County,15441,,,Faribault,24,13758
District of Columbia,951,702455,,0.14%,,Denton County,859064,,,Faulkner,7,124806
Troup,93,70034,,0.13%,,Denver County,716492,,,Fauquier,185,70675
Lucas,582,438544,,0.13%,,Des Moines County,39138,,,Fayette,1565,785776
Buncombe,342,259103,,0.13%,,Deschutes County,191996,,,Fentress,2,18217
Charlotte,259,196936,,0.13%,,Desha County,11512,,,Ferry,4,7649
Tolland,198,150921,,0.13%,,DeSoto County,219490,,,Fillmore,24,26585
Slope,1,763,,0.13%,,Deuel County,6162,,,Fisher,1,3839
Chautauqua,172,131248,,0.13%,,Dewey County,10798,,,Flagler,107,112067
Macomb,1137,874759,,0.13%,,DeWitt County,20187,,,Flathead,12,102106
Cabarrus,274,211342,,0.13%,,Dickens County,2249,,,Florence,1436,142480
Madison,1808,1397473,,0.13%,,Dickenson County,14523,,,Floyd,179,248946
Morris,660,512088,,0.13%,,Dickey County,4903,,,Fluvanna,9,26783
Carlton,46,35837,,0.13%,,Dickinson County,61253,,,Fond du Lac,34,103066
Stearns,204,159256,,0.13%,,Dickson County,53446,,,Ford,1,47152
Watonwan,14,10980,,0.13%,,Dillingham Census Area,5000,,,Forrest,286,75036
Clay,908,718645,,0.13%,,Dillon County,30599,,,Forsyth,673,615711
Le Sueur,36,28494,,0.13%,,Dimmit County,10308,,,Fort Bend,394,787858
Virginia Beach,568,450189,,0.13%,,Dinwiddie County,28529,,,Fountain,29,16351
Holmes,102,80991,,0.13%,,District of Columbia,702455,,,Franklin,4225,2296613
Bossier,160,127185,,0.13%,,Divide County,2283,,,Franklin County,54,20156
Niobrara,3,2388,,0.13%,,Dixie County,16700,,,Frederick,1457,344003
Coweta,183,145864,,0.13%,,Dixon County,5709,,,Fredericksburg,80,29144
Hudspeth,6,4795,,0.13%,,Doddridge County,8406,,,Fredericksburg City,2,29144
Passaic,628,503310,,0.12%,,Dodge County,166165,,,Freeborn,115,30444
Barnstable,264,213413,,0.12%,,Dolores County,2074,,,Freestone,18,19808
Cape May,114,92560,,0.12%,,Doniphan County,7682,,,Fremont,77,107713
Ulster,219,178599,,0.12%,,Donley County,3319,,,Fresno,2229,994400
Harrisonburg,66,54033,,0.12%,,DoÒa Ana County,217522,,,Frio,2,19816
Rich,3,2464,,0.12%,,Dooly County,13706,,,Fulton,9708,1233829
Ingham,356,292735,,0.12%,,Door County,27610,,,Gadsden,244,45894
Pinal,541,447138,,0.12%,,Dorchester County,192645,,,Gage,4,21493
Atlantic,320,265429,,0.12%,,Dougherty County,91243,,,Gaines,1,20901
Cayuga,93,77145,,0.12%,,Douglas County,1495039,,,Galax,1,6423
Donley,4,3319,,0.12%,,Drew County,18328,,,Galax City,1,6423
Rankin,185,153902,,0.12%,,Dubois County,42565,,,Gallatin,17,125766
Appomattox,19,15841,,0.12%,,Dubuque County,96854,,,Gallia,1,29979
Thurston,352,293722,,0.12%,,Duchesne County,19964,,,Galveston,238,337890
Carver,124,103551,,0.12%,,Dukes County,17352,,,Garfield,102,131265
Washtenaw,444,370963,,0.12%,,Dundy County,1770,,,Garland,7,99154
Arenac,18,15041,,0.12%,,Dunklin County,29423,,,Garrard,1,17560
Gaston,266,222846,,0.12%,,Dunn County,49463,,,Garrett,21,29163
Davie,51,42733,,0.12%,,DuPage County,928589,,,Garvin,8,27811
Bay,345,289210,,0.12%,,Duplin County,58856,,,Garza,1,6578
Susquehanna,48,40589,,0.12%,,Durham County,316739,,,Gasconade,1,14705
St. John the Baptist,51,43184,,0.12%,,Dutchess County,293718,,,Gaston,266,222846
Platte,171,144914,,0.12%,,Duval County,961393,,,Geauga,162,94031
Hendry,49,41556,,0.12%,,Dyer County,37320,,,Genesee,7879,464403
Gordon,68,57685,,0.12%,,Eagle County,54993,,,Geneva,2,26314
Cowlitz,127,108987,,0.12%,,Early County,10247,,,George,8,24250
Plymouth,631,543227,,0.12%,,East Baton Rouge Parish,440956,,,Georgetown,545,62249
Greenlee,11,9483,,0.12%,,East Carroll Parish,7037,,,Gibson,22,82497
Collier,438,378488,,0.12%,,East Feliciana Parish,19305,,,Gila,121,53889
Cheyenne,16,13846,,0.12%,,Eastland County,18322,,,Gilchrist,7,18256
Cottonwood,13,11277,,0.12%,,Eaton County,109826,,,Giles,28,46347
Mineral,42,36546,,0.11%,,Eau Claire County,104534,,,Gillespie,5,26804
Waller,61,53126,,0.11%,,Echols County,4000,,,Gilliam,101,1894
Dane,620,542364,,0.11%,,Ector County,162124,,,Gilmer,24,38842
Meriwether,24,21068,,0.11%,,Eddy County,60213,,,Gilpin,20,6121
Braxton,16,14089,,0.11%,,Edgar County,17360,,,Glacier,4,13747
Weld,356,314305,,0.11%,,Edgecombe County,52005,,,Glades,21,13724
Poweshiek,21,18699,,0.11%,,Edgefield County,27052,,,Gladwin,4,25337
New York,1827,1628701,,0.11%,,Edmonson County,12274,,,Glasscock,2,1388
Roane,75,67072,,0.11%,,Edmunds County,3875,,,Glenn,94,28047
Catron,4,3578,,0.11%,,Edwards County,11169,,,Gloucester,505,328757
Kit Carson,8,7163,,0.11%,,Effingham County,96398,,,Glynn,62,85219
Lehigh,408,368100,,0.11%,,El Dorado County,190678,,,Gogebic,1,15096
Winona,56,50825,,0.11%,,El Paso County,1554614,,,Goliad,8,7584
Halifax,93,84694,,0.11%,,Elbert County,45402,,,Gonzales,7,20826
Monmouth,682,621354,,0.11%,,Elk County,32677,,,Goochland,124,23244
Forsyth,673,615711,,0.11%,,Elkhart County,205560,,,Goodhue,82,46403
Cheatham,44,40439,,0.11%,,Elko County,52460,,,Gooding,3,15196
Copiah,31,28543,,0.11%,,Elliott County,7508,,,Gordon,68,57685
Shiawassee,74,68192,,0.11%,,Ellis County,212098,,,Goshen,4,13376
Cibola,29,26746,,0.11%,,Ellsworth County,6196,,,Grady,7,80299
Citrus,160,147929,,0.11%,,Elmore County,109146,,,Grafton,139,89786
Elmore,118,109146,,0.11%,,Emanuel County,22612,,,Graham,19,49048
Rowan,179,165845,,0.11%,,Emery County,10014,,,Grainger,2,23145
Trego,3,2793,,0.11%,,Emmet County,42561,,,Grand,59,25289
Kandiyohi,46,42855,,0.11%,,Emmons County,3295,,,Grand Forks,2,70770
Somerset,516,481383,,0.11%,,Emporia city,5121,,,Grand Isle,1,7090
Mille Lacs,28,26139,,0.11%,,Erath County,42446,,,Grand Traverse,9,92573
Blue Earth,72,67427,,0.11%,,Erie County,1266395,,,Granite,3,3378
Gwinnett,989,927781,,0.11%,,Escambia County,352282,,,Grant,195,332142
Lincoln,649,611041,,0.11%,,Esmeralda County,826,,,Granville,47,60115
Terrell,10,9434,,0.11%,,Essex County,1644874,,,Gratiot,3,40599
New London,282,266784,,0.11%,,Estill County,14198,,,Gray,1,27928
Loudon,56,53054,,0.11%,,Etowah County,102501,,,Grays Harbor,129,73901
Isle of Wight,39,36953,,0.11%,,Eureka County,2003,,,Grayson,28,175943
Goliad,8,7584,,0.11%,,Evangeline Parish,33443,,,Green,8,47978
Navajo,116,110445,,0.11%,,Evans County,10721,,,Greenbrier,17,34786
Philadelphia,1658,1584138,,0.10%,,Fairbanks North Star Borough,98971,,,Greene,1097,792666
Amherst,33,31666,,0.10%,,Fairfax city,24574,,,Greenlee,11,9483
Kanawha,188,180454,,0.10%,,Fairfax County,1150795,,,Greensville,56,11627
Bradley,121,117624,,0.10%,,Fairfield County,1122007,,,Greenville,8420,514213
Windham,164,159783,,0.10%,,Fall River County,6758,,,Greenwood,585,76796
Torrance,16,15591,,0.10%,,Fallon County,2920,,,Gregg,78,123707
Preble,42,40997,,0.10%,,Falls Church city,14772,,,Grenada,5,21055
Spokane,524,514631,,0.10%,,Falls County,17335,,,Grimes,4,28360
Shoshone,13,12796,,0.10%,,Fannin County,61250,,,Grundy,59,86536
Alamance,169,166436,,0.10%,,Faribault County,13758,,,Guadalupe,83,168035
Allegan,119,117327,,0.10%,,Faulk County,2330,,,Guernsey,23,39022
Livingston,319,314600,,0.10%,,Faulkner County,124806,,,Guilford,1058,533670
Habersham,46,45388,,0.10%,,Fauquier County,70675,,,Gulf,14,16164
Dearborn,50,49568,,0.10%,,Fayette County,785776,,,Gunnison,9,17246
Aitkin,16,15902,,0.10%,,Fentress County,18217,,,Guthrie,3,10720
Juneau,32,32113,,0.10%,,Fergus County,11113,,,Gwinnett,989,927781
Rosebud,9,9063,,0.10%,,Ferry County,7649,,,Habersham,46,45388
Becker,34,34371,,0.10%,,Fillmore County,26585,,,Hale,14,48556
Apache,71,71818,,0.10%,,Finney County,36611,,,Halifax,93,84694
Hays,219,222631,,0.10%,,Fisher County,3839,,,Hall,152,266783
Redwood,15,15249,,0.10%,,Flagler County,112067,,,Hamblen,15,64569
Berrien,168,173393,,0.10%,,Flathead County,102106,,,Hamilton,4592,1573286
Rappahannock,7,7252,,0.10%,,Fleming County,14432,,,Hampden,137,470406
Dolores,2,2074,,0.10%,,Florence County,142480,,,Hampshire,41,184702
St. Lucie,309,321128,,0.10%,,Floyd County,248946,,,Hampton,447,134313
Patrick,17,17673,,0.10%,,Fluvanna County,26783,,,Hampton City,2,134313
Wilkin,6,6254,,0.10%,,Foard County,1200,,,Hancock,212,335731
Flagler,107,112067,,0.10%,,Fond du Lac County,103066,,,Hand,1,3262
Waukesha,384,403072,,0.10%,,Ford County,47152,,,Hanover,381,107239
Scott,504,531033,,0.09%,,Forest County,16270,,,Hanson,1,3376
Pickaway,55,58086,,0.09%,,Forrest County,75036,,,Haralson,52,29533
Culpeper,49,51859,,0.09%,,Forsyth County,615711,,,Hardee,57,27245
Blanco,11,11702,,0.09%,,Fort Bend County,787858,,,Hardeman,1,29142
Hubbard,20,21332,,0.09%,,Foster County,3216,,,Hardin,33,245597
Denton,802,859064,,0.09%,,Fountain County,16351,,,Harford,667,253956
Luna,22,23963,,0.09%,,Franklin city,8013,,,Harnett,63,134214
Dickson,49,53446,,0.09%,,Franklin County,2296613,,,Harney,120,7329
Archer,8,8786,,0.09%,,Franklin Parish,20156,,,Harris,27114,4733094
Collin,914,1005146,,0.09%,,Frederick County,344003,,,Harrison,314,437780
Freestone,18,19808,,0.09%,,Fredericksburg city,29144,,,Harrisonburg,66,54033
Levy,37,40770,,0.09%,,Freeborn County,30444,,,Hart,23,45005
Fillmore,24,26585,,0.09%,,Freestone County,19808,,,Hartford,2245,892697
Rogers,83,91984,,0.09%,,Fremont County,107713,,,Harvey,1,34210
Bienville,12,13308,,0.09%,,Fresno County,994400,,,Hawkins,10,56530
Pecos,14,15673,,0.09%,,Frio County,19816,,,Hays,219,222631
Spalding,59,66100,,0.09%,,Frontier County,2608,,,Haywood,122,79306
Granite,3,3378,,0.09%,,Fulton County,1233829,,,Heard,27,11879
Camas,1,1127,,0.09%,,Furnas County,4715,,,Hempstead,4,21741
Worcester,782,882662,,0.09%,,Gadsden County,45894,,,Henderson,72,279194
Strafford,115,130090,,0.09%,,Gage County,21493,,,Hendricks,723,167009
Park,57,64616,,0.09%,,Gaines County,20901,,,Hendry,49,41556
Yadkin,33,37543,,0.09%,,Galax city,6423,,,Hennepin,8821,1259428
Northampton,294,336218,,0.09%,,Gallatin County,125766,,,Henrico,2810,329261
Kenosha,148,169290,,0.09%,,Gallia County,29979,,,Henry,756,513152
Rockdale,79,90594,,0.09%,,Galveston County,337890,,,Herkimer,86,61833
Prince Edward,20,22950,,0.09%,,Garden County,1897,,,Hernando,623,190865
Story,85,98105,,0.09%,,Garfield County,131265,,,Hertford,3,23659
Gulf,14,16164,,0.09%,,Garland County,99154,,,Hickman,22,29484
Tift,35,40571,,0.09%,,Garrard County,17560,,,Hidalgo,98,870179
Bucks,540,628195,,0.09%,,Garrett County,29163,,,Highland,26,45268
Pueblo,144,167529,,0.09%,,Garvin County,27811,,,Highlands,89,105424
Martin,198,230661,,0.09%,,Garza County,6578,,,Hill,18,52701
Callahan,12,13994,,0.09%,,Gasconade County,14705,,,Hillsborough,5094,1852135
Waseca,16,18691,,0.09%,,Gaston County,222846,,,Hinds,646,237085
Clermont,175,205466,,0.09%,,Gates County,11573,,,Hocking,18,28385
Bent,5,5882,,0.09%,,Geary County,32594,,,Hoke,9,54764
Licking,149,175769,,0.08%,,Geauga County,94031,,,Holmes,102,80991
Kings,2312,2734196,,0.08%,,Gem County,17634,,,Holt,8,14582
Cumberland,942,1115231,,0.08%,,Genesee County,464403,,,Hood,1,60537
Highlands,89,105424,,0.08%,,Geneva County,26314,,,Hood River,128,23428
Mifflin,39,46222,,0.08%,,Gentry County,6628,,,Hopewell,16,22596
Page,33,39182,,0.08%,,George County,24250,,,Hopkins,5,81878
Worth,25,29792,,0.08%,,Georgetown County,62249,,,Horry,3099,344147
Baylor,3,3582,,0.08%,,Gibson County,82497,,,Hot Spring,5,33701
McLeod,30,35873,,0.08%,,Gila County,53889,,,Hot Springs,3,4555
Jerome,20,24015,,0.08%,,Gilchrist County,18256,,,Houghton,8,36219
Doddridge,7,8406,,0.08%,,Giles County,46347,,,Houston,182,310201
McClain,33,39985,,0.08%,,Gillespie County,26804,,,Howard,652,481154
Mower,33,40011,,0.08%,,Gilliam County,1894,,,Howell,1,40076
Renville,14,16986,,0.08%,,Gilmer County,38842,,,Hubbard,20,21332
Racine,162,196584,,0.08%,,Gilpin County,6121,,,Hudson,989,676061
Ocean,493,601651,,0.08%,,Glacier County,13747,,,Hudspeth,6,4795
Robertson,74,90431,,0.08%,,Glades County,13724,,,Huerfano,44,6889
Kidder,2,2450,,0.08%,,Gladwin County,25337,,,Hughes,5,30985
Belmont,55,67505,,0.08%,,Glascock County,2995,,,Humboldt,344,162706
Whitfield,84,104062,,0.08%,,Glasscock County,1388,,,Humphreys,10,26743
Buena Vista,5,6237,,0.08%,,Glenn County,28047,,,Hunt,29,96493
Van Buren,84,104836,,0.08%,,Gloucester County,328757,,,Hunterdon,228,124714
Catoosa,54,67420,,0.08%,,Glynn County,85219,,,Huntingdon,13,45168
Modoc,7,8777,,0.08%,,Gogebic County,15096,,,Huntington,8,36240
Larimer,279,350518,,0.08%,,Golden Valley County,2595,,,Huron,13,89670
Elk,26,32677,,0.08%,,Goliad County,7584,,,Hutchinson,7,28578
Saginaw,151,190800,,0.08%,,Gonzales County,20826,,,Iberia,3,70941
McIntosh,29,36740,,0.08%,,Goochland County,23244,,,Iberville,68,32721
Unicoi,14,17761,,0.08%,,Goodhue County,46403,,,Ida,3,6841
McMinn,42,53285,,0.08%,,Gooding County,15196,,,Idaho,10,16513
Mohave,165,209550,,0.08%,,Gordon County,57685,,,Imperial,8,181827
Wabasha,17,21645,,0.08%,,Goshen County,13376,,,Independence,1,37678
Cocke,28,35774,,0.08%,,Gosper County,1996,,,Indian River,118,157413
Granville,47,60115,,0.08%,,Gove County,2612,,,Indiana,18,84501
Catawba,124,158652,,0.08%,,Grady County,80299,,,Ingham,356,292735
Garfield,102,131265,,0.08%,,Grafton County,89786,,,Inyo,51,17987
Iowa,31,39912,,0.08%,,Graham County,49048,,,Ionia,40,64210
Rock,135,173903,,0.08%,,Grainger County,23145,,,Iosco,5,25081
Todd,36,47176,,0.08%,,Grand County,25289,,,Iowa,31,39912
Rush,15,19756,,0.08%,,Grand Forks County,70770,,,Iredell,277,178435
Terrebonne,84,111021,,0.08%,,Grand Isle County,7090,,,Iron,177,79745
Bradford,67,88565,,0.08%,,Grand Traverse County,92573,,,Iroquois,10,27604
Ascension,94,124672,,0.08%,,Granite County,3378,,,Irwin,6,9398
Indian River,118,157413,,0.07%,,Grant County,332142,,,Isabella,7,70562
Hickman,22,29484,,0.07%,,Grant Parish,22482,,,Isanti,19,39966
Kitsap,201,269805,,0.07%,,Granville County,60115,,,Island,55,84460
Brunswick,114,153128,,0.07%,,Gratiot County,40599,,,Isle of Wight,39,36953
Burke,85,114905,,0.07%,,Graves County,37317,,,Itasca,25,45108
Talladega,59,79828,,0.07%,,Gray County,27928,,,Itawamba,7,23517
Uinta,15,20299,,0.07%,,Grays Harbor County,73901,,,Jackson,5050,1748022
McDowell,47,63730,,0.07%,,Grayson County,175943,,,James City,54,76397
Outagamie,137,187365,,0.07%,,Greeley County,3583,,,Jasper,654,296075
Carroll,389,532273,,0.07%,,Green County,47978,,,Jay,1,20764
Sagadahoc,26,35634,,0.07%,,Green Lake County,18918,,,Jeff Davis,1,17281
Olmsted,114,156277,,0.07%,,Greenbrier County,34786,,,Jefferson,10707,3229512
Glynn,62,85219,,0.07%,,Greene County,792666,,,Jefferson Davis,28,11234
Niagara,153,210433,,0.07%,,Greenlee County,9483,,,Jenkins,4,8683
St. Croix,65,89694,,0.07%,,Greensville County,11627,,,Jennings,8,27611
Craig,14,19370,,0.07%,,Greenup County,35268,,,Jerome,20,24015
Ottawa,266,368240,,0.07%,,Greenville County,514213,,,Jersey,4,21847
Lycoming,82,113664,,0.07%,,Greenwood County,76796,,,Jessamine,11,53920
Garrett,21,29163,,0.07%,,Greer County,5821,,,Jim Wells,6,40822
Floyd,179,248946,,0.07%,,Gregg County,123707,,,Jo Daviess,12,21366
Harrison,314,437780,,0.07%,,Gregory County,4212,,,Johnson,1853,1232717
Fremont,77,107713,,0.07%,,Grenada County,21055,,,Johnston,582,213624
St. James,15,21037,,0.07%,,Griggs County,2232,,,Jones,41,148203
Hopewell,16,22596,,0.07%,,Grimes County,28360,,,Josephine,545,87393
Crisp,16,22601,,0.07%,,Grundy County,86536,,,Juab,116,11555
James City,54,76397,,0.07%,,Guadalupe County,168035,,,Judith Basin,1,1952
Bedford,124,175961,,0.07%,,Guernsey County,39022,,,Juneau,32,32113
Galveston,238,337890,,0.07%,,Guilford County,533670,,,Juniata,6,24704
